epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,857.541,1.62918,1.28002,0.91972,0.65377,0.49663,0.56502,0.29651,1.65088,1.34829,0.95262,0.000175178,0.000175178,0.000175178
80,867.798,1.57309,1.25307,0.92549,0.67303,0.51275,0.56361,0.29367,1.65386,1.34146,0.95288,0.000167565,0.000167565,0.000167565
81,877.954,1.57395,1.25029,0.92091,0.70067,0.50525,0.56862,0.29278,1.66113,1.32969,0.95369,0.000159952,0.000159952,0.000159952
82,888.188,1.57449,1.21486,0.91182,0.68659,0.52103,0.56585,0.28558,1.68046,1.32442,0.95544,0.000152339,0.000152339,0.000152339
83,898.459,1.52125,1.23001,0.90896,0.69823,0.53454,0.56579,0.28501,1.69292,1.31924,0.95655,0.000144726,0.000144726,0.000144726
84,908.698,1.58668,1.28464,0.92837,0.67728,0.53805,0.56981,0.29514,1.69382,1.31444,0.95665,0.000137113,0.000137113,0.000137113
85,919.414,1.56427,1.17534,0.91084,0.71083,0.52354,0.58072,0.29976,1.68328,1.3046,0.9561,0.0001295,0.0001295,0.0001295
86,930.164,1.5254,1.21511,0.90793,0.7267,0.51825,0.58704,0.30572,1.6652,1.2945,0.95398,0.000121887,0.000121887,0.000121887
87,940.742,1.55159,1.19597,0.91059,0.68392,0.54905,0.58238,0.30521,1.64954,1.29145,0.95135,0.000114273,0.000114273,0.000114273
88,951.458,1.54014,1.20808,0.9006,0.69238,0.5546,0.5825,0.30779,1.64301,1.29192,0.94908,0.00010666,0.00010666,0.00010666
89,961.78,1.49227,1.2022,0.91203,0.71349,0.54933,0.59036,0.30969,1.6361,1.28405,0.94712,9.90472e-05,9.90472e-05,9.90472e-05
90,972.036,1.47336,1.16614,0.9039,0.72965,0.54568,0.60356,0.31485,1.62465,1.27336,0.94495,9.14341e-05,9.14341e-05,9.14341e-05
91,982.209,1.56007,1.27655,0.93948,0.71738,0.56249,0.60844,0.31786,1.61723,1.26811,0.94411,8.3821e-05,8.3821e-05,8.3821e-05
92,992.302,1.53232,1.25354,0.93218,0.70515,0.55971,0.6087,0.32176,1.60791,1.26668,0.94335,7.62079e-05,7.62079e-05,7.62079e-05
93,1002.32,1.55633,1.2468,0.93181,0.70611,0.5489,0.60676,0.3211,1.60857,1.26755,0.94472,6.85948e-05,6.85948e-05,6.85948e-05
94,1012.45,1.48955,1.24913,0.91931,0.69524,0.55274,0.61119,0.32279,1.61929,1.26976,0.94662,6.09817e-05,6.09817e-05,6.09817e-05
95,1022.43,1.48274,1.1869,0.93742,0.70569,0.53583,0.61427,0.32235,1.63487,1.27453,0.9492,5.33686e-05,5.33686e-05,5.33686e-05
96,1032.32,1.52689,1.2112,0.93901,0.70209,0.52827,0.61181,0.32012,1.6462,1.27792,0.95084,4.57555e-05,4.57555e-05,4.57555e-05
97,1042.19,1.57054,1.19694,0.92501,0.70032,0.52786,0.61154,0.3195,1.64919,1.28043,0.95153,3.81424e-05,3.81424e-05,3.81424e-05
98,1052.21,1.5592,1.17617,0.91096,0.70195,0.52403,0.60925,0.32153,1.64558,1.28121,0.95075,3.05293e-05,3.05293e-05,3.05293e-05
99,1062.25,1.47673,1.18234,0.91625,0.70654,0.51878,0.60891,0.32024,1.63772,1.28024,0.94905,2.29162e-05,2.29162e-05,2.29162e-05
100,1072.3,1.50285,1.19245,0.92495,0.69643,0.51505,0.60758,0.32113,1.63368,1.28045,0.94809,1.53031e-05,1.53031e-05,1.53031e-05
